,Player,PF,Yds,Tot Yds & TO_Ply,Tot Yds & TO_Y/P,Tot Yds & TO_TO,FL,1stD,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Passing_Int,Passing_NY/A,Passing_1stD,Rushing_Att,Rushing_Yds,Rushing_TD,Rushing_Y/A,Rushing_1stD,Penalties_Pen,Penalties_Yds,Penalties_1stPy,season,team,#Dr,Sc%,TO%,Average Drive_Start,Average Drive_Time,Average Drive_Plays,Average Drive_Yds,Average Drive_Pts
99,Team Stats,315,5498,1080.0,5.1,23,13,309,312.0,546,3576,20,10,5.9,174.0,475,1922,11,4.0,111.0,101.0,913.0,24.0,2000,buf,200.0,29.0,10.5,Own 29.4,2:35,5.59,27.4,1.51
100,Team Stats,265,5137,1009.0,5.1,33,13,287,327.0,557,3451,18,20,5.7,180.0,406,1686,9,4.2,75.0,123.0,954.0,32.0,2001,buf,184.0,24.5,16.8,Own 26.9,2:32,5.64,27.9,1.32
101,Team Stats,379,5591,1054.0,5.3,31,16,355,377.0,612,3995,24,15,6.0,218.0,388,1596,17,4.1,90.0,112.0,1031.0,47.0,2002,buf,184.0,35.9,15.8,Own 29.7,2:43,5.91,30.3,1.97
102,Team Stats,243,4348,980.0,4.4,34,17,268,293.0,502,2684,11,17,4.9,150.0,427,1664,13,3.9,96.0,106.0,891.0,22.0,2003,buf,187.0,21.9,17.6,Own 30.3,2:33,5.37,23.0,1.17
103,Team Stats,395,4691,982.0,4.8,29,12,271,262.0,461,2817,21,17,5.6,149.0,483,1874,15,3.9,102.0,121.0,1047.0,20.0,2004,buf,187.0,32.1,14.4,Own 36.2,2:36,5.42,24.8,1.73
104,Team Stats,271,4122,930.0,4.4,26,10,259,269.0,459,2515,18,16,5.0,129.0,428,1607,6,3.8,96.0,120.0,897.0,34.0,2005,buf,177.0,29.9,14.1,Own 33.8,2:37,5.45,23.1,1.44
105,Team Stats,300,4271,898.0,4.8,29,15,234,268.0,431,2719,19,14,5.7,132.0,420,1552,9,3.7,82.0,87.0,629.0,20.0,2006,buf,186.0,27.4,15.1,Own 31.2,2:25,4.96,22.8,1.42
106,Team Stats,252,4434,919.0,4.8,21,7,248,263.0,445,2634,12,14,5.6,141.0,448,1800,8,4.0,91.0,78.0,633.0,16.0,2007,buf,177.0,24.9,11.9,Own 30.4,2:36,5.34,24.8,1.2
107,Team Stats,336,4882,956.0,5.1,30,15,287,309.0,479,3040,14,15,5.9,167.0,439,1842,16,4.2,107.0,71.0,538.0,13.0,2008,buf,176.0,34.1,16.5,Own 32.1,2:44,5.65,27.7,1.7
108,Team Stats,258,4382,911.0,4.8,30,11,233,256.0,441,2515,17,19,5.2,126.0,424,1867,6,4.4,81.0,107.0,855.0,26.0,2009,buf,188.0,27.1,13.8,Own 30.3,2:24,5.02,23.3,1.3
109,Team Stats,283,4878,954.0,5.1,39,18,263,296.0,519,3158,24,21,5.7,166.0,401,1720,6,4.3,82.0,82.0,633.0,15.0,2010,buf,182.0,25.3,19.2,Own 29.2,2:31,5.36,26.8,1.42
110,Team Stats,372,5624,992.0,5.7,30,5,313,356.0,578,3703,24,25,6.2,180.0,391,1921,12,4.9,100.0,86.0,743.0,33.0,2011,buf,189.0,31.2,15.9,Own 26.2,2:33,5.41,29.8,1.7
111,Team Stats,344,5486,983.0,5.6,34,17,301,309.0,511,3269,24,17,6.0,176.0,442,2217,12,5.0,103.0,104.0,871.0,22.0,2012,buf,190.0,30.0,17.4,Own 27.3,2:32,5.3,28.8,1.66
112,Team Stats,339,5410,1116.0,4.8,27,12,301,299.0,522,3103,16,15,5.4,149.0,546,2307,15,4.2,113.0,110.0,954.0,39.0,2013,buf,214.0,29.9,12.1,Own 26.8,2:09,5.38,25.2,1.48
113,Team Stats,343,5096,1020.0,5.0,23,10,273,363.0,579,3614,23,13,5.8,186.0,402,1482,7,3.7,65.0,124.0,1031.0,22.0,2014,buf,197.0,32.5,11.2,Own 30.2,2:25,5.37,25.8,1.58
114,Team Stats,379,5775,1016.0,5.7,19,10,297,295.0,465,3343,23,9,6.6,155.0,509,2432,19,4.8,122.0,143.0,1249.0,20.0,2015,buf,186.0,34.9,8.6,Own 26.7,2:42,5.61,31.0,1.95
115,Team Stats,399,5666,1012.0,5.6,12,5,328,286.0,474,3036,17,7,5.8,155.0,492,2630,29,5.3,146.0,112.0,960.0,27.0,2016,buf,177.0,36.7,6.8,Own 28.9,2:42,5.91,31.8,2.14
116,Team Stats,302,4842,1010.0,4.8,16,6,278,289.0,476,2825,16,10,5.4,149.0,487,2017,12,4.1,105.0,98.0,872.0,24.0,2017,buf,180.0,31.7,8.9,Own 28.2,2:31,5.92,26.9,1.57
117,Team Stats,269,4778,1008.0,4.7,32,9,283,271.0,499,2794,13,23,5.2,137.0,468,1984,15,4.2,108.0,116.0,992.0,38.0,2018,buf,193.0,26.4,15.5,Own 29.7,2:32,5.47,24.6,1.39
118,Team Stats,314,5283,1018.0,5.2,19,7,314,299.0,513,3229,21,12,5.8,162.0,465,2054,13,4.4,120.0,117.0,927.0,32.0,2019,buf,186.0,30.1,10.2,Own 28.9,2:35,5.62,28.5,1.63
119,Team Stats,501,6343,1034.0,6.1,22,11,397,410.0,596,4620,40,11,7.4,240.0,411,1723,16,4.2,119.0,102.0,941.0,38.0,2020,buf,170.0,49.4,11.8,Own 30.7,2:59,6.28,37.3,2.8
120,Team Stats,483,6493,1143.0,5.7,22,6,398,415.0,655,4284,36,16,6.3,236.0,461,2209,20,4.8,134.0,113.0,980.0,28.0,2021,buf,186.0,45.2,11.3,Own 32.2,2:54,6.32,34.8,2.56
121,Team Stats,455,6361,1037.0,6.1,27,13,367,361.0,574,4129,35,14,6.8,212.0,430,2232,15,5.2,128.0,92.0,709.0,27.0,2022,buf,171.0,45.0,15.2,Own 30.0,2:47,6.25,37.1,2.52
122,Team Stats,451,6366,1115.0,5.7,28,10,381,385.0,579,4154,29,18,6.9,199.0,512,2212,22,4.3,158.0,106.0,883.0,24.0,2023,buf,181.0,41.4,14.9,Own 29.0,3:01,6.32,35.1,2.37
123,Team Stats,525,6105,1025.0,6.0,8,2,360,329.0,520,3875,30,6,7.3,181.0,491,2230,32,4.5,140.0,112.0,833.0,39.0,2024,buf,173.0,49.7,4.6,Own 33.4,2:56,6.09,35.4,2.92
124,Team Stats,289,4619,1029.0,4.5,41,16,250,263.0,537,3046,16,25,5.3,157.0,454,1573,10,3.5,74.0,94.0,683.0,19.0,1995,car,,,,,,,,
125,Team Stats,367,4812,1025.0,4.7,25,14,292,273.0,487,3083,22,11,5.9,160.0,502,1729,9,3.4,93.0,94.0,638.0,39.0,1996,car,,,,,,,,
126,Team Stats,265,4615,1019.0,4.5,39,15,284,289.0,534,2845,17,24,4.9,170.0,441,1770,11,4.0,91.0,94.0,763.0,23.0,1997,car,,,,,,,,
127,Team Stats,336,4780,966.0,4.9,35,17,261,292.0,507,3322,25,18,5.9,171.0,405,1458,11,3.6,68.0,113.0,931.0,22.0,1998,car,,,,,,,,
128,Team Stats,421,5686,982.0,5.8,34,19,307,345.0,575,4161,36,15,6.6,208.0,356,1525,12,4.3,78.0,106.0,857.0,21.0,1999,car,192.0,38.0,15.1,Own 32.7,2:27,5.26,29.6,2.14
129,Team Stats,310,4654,998.0,4.7,35,16,304,340.0,566,3468,19,19,5.5,201.0,363,1186,7,3.3,63.0,84.0,683.0,40.0,2000,car,176.0,32.4,18.2,Own 32.0,2:44,5.87,26.4,1.56
130,Team Stats,253,4254,965.0,4.4,35,13,236,314.0,579,2882,12,22,4.7,144.0,354,1372,9,3.9,68.0,87.0,747.0,24.0,2001,car,201.0,22.4,15.9,Own 32.0,2:12,4.94,21.0,1.11
